comunidad,residencia,viajeros,pernoctaciones,año,mes,total
Madrid,Residentes en el Extranjero,Si,,2023,09,583.605
Madrid,Residentes en el Extranjero,Si,,2023,08,539.019
Madrid,Residentes en el Extranjero,Si,,2023,07,571.252
Madrid,Residentes en el Extranjero,Si,,2023,06,546.259
Madrid,Residentes en el Extranjero,Si,,2023,05,553.960
Madrid,Residentes en el Extranjero,Si,,2023,04,516.255
Madrid,Residentes en el Extranjero,Si,,2023,03,477.214
Madrid,Residentes en el Extranjero,Si,,2023,02,360.262
Madrid,Residentes en el Extranjero,Si,,2023,01,353.189
Madrid,Residentes en el Extranjero,Si,,2022,12,347.670
Madrid,Residentes en el Extranjero,Si,,2022,11,410.424
Madrid,Residentes en el Extranjero,Si,,2022,10,521.538
Madrid,Residentes en el Extranjero,Si,,2022,09,498.605
Madrid,Residentes en el Extranjero,Si,,2022,08,406.755
Madrid,Residentes en el Extranjero,Si,,2022,07,480.915
Madrid,Residentes en el Extranjero,Si,,2022,06,461.468
Madrid,Residentes en el Extranjero,Si,,2022,05,460.034
Madrid,Residentes en el Extranjero,Si,,2022,04,396.769
Madrid,Residentes en el Extranjero,Si,,2022,03,323.693
Madrid,Residentes en el Extranjero,Si,,2022,02,236.771
Madrid,Residentes en el Extranjero,Si,,2022,01,182.870
Madrid,Residentes en el Extranjero,Si,,2021,12,241.894
Madrid,Residentes en el Extranjero,Si,,2021,11,294.284
Madrid,Residentes en el Extranjero,Si,,2021,10,321.023
Madrid,Residentes en el Extranjero,Si,,2021,09,256.777
Madrid,Residentes en el Extranjero,Si,,2021,08,193.907
Madrid,Residentes en el Extranjero,Si,,2021,07,179.424
Madrid,Residentes en el Extranjero,Si,,2021,06,119.886
Madrid,Residentes en el Extranjero,Si,,2021,05,97.076
Madrid,Residentes en el Extranjero,Si,,2021,04,61.516
Madrid,Residentes en el Extranjero,Si,,2021,03,61.297
Madrid,Residentes en el Extranjero,Si,,2021,02,43.405
Madrid,Residentes en el Extranjero,Si,,2021,01,46.649
Madrid,Residentes en el Extranjero,Si,,2020,12,46.570
Madrid,Residentes en el Extranjero,Si,,2020,11,38.193
Madrid,Residentes en el Extranjero,Si,,2020,10,36.739
Madrid,Residentes en el Extranjero,Si,,2020,09,46.085
Madrid,Residentes en el Extranjero,,Si,2023,09,1.312.432
Madrid,Residentes en el Extranjero,,Si,2023,08,1.164.011
Madrid,Residentes en el Extranjero,,Si,2023,07,1.254.466
Madrid,Residentes en el Extranjero,,Si,2023,06,1.237.891
Madrid,Residentes en el Extranjero,,Si,2023,05,1.285.992
Madrid,Residentes en el Extranjero,,Si,2023,04,1.223.382
Madrid,Residentes en el Extranjero,,Si,2023,03,1.081.032
Madrid,Residentes en el Extranjero,,Si,2023,02,816.691
Madrid,Residentes en el Extranjero,,Si,2023,01,811.230
Madrid,Residentes en el Extranjero,,Si,2022,12,792.069
Madrid,Residentes en el Extranjero,,Si,2022,11,940.766
Madrid,Residentes en el Extranjero,,Si,2022,10,1.229.379
Madrid,Residentes en el Extranjero,,Si,2022,09,1.133.828
Madrid,Residentes en el Extranjero,,Si,2022,08,915.087
Madrid,Residentes en el Extranjero,,Si,2022,07,1.091.837
Madrid,Residentes en el Extranjero,,Si,2022,06,1.088.657
Madrid,Residentes en el Extranjero,,Si,2022,05,1.110.766
Madrid,Residentes en el Extranjero,,Si,2022,04,1.023.461
Madrid,Residentes en el Extranjero,,Si,2022,03,815.168
Madrid,Residentes en el Extranjero,,Si,2022,02,588.508
Madrid,Residentes en el Extranjero,,Si,2022,01,493.728
Madrid,Residentes en el Extranjero,,Si,2021,12,613.570
Madrid,Residentes en el Extranjero,,Si,2021,11,727.600
Madrid,Residentes en el Extranjero,,Si,2021,10,815.634
Madrid,Residentes en el Extranjero,,Si,2021,09,636.852
Madrid,Residentes en el Extranjero,,Si,2021,08,472.889
Madrid,Residentes en el Extranjero,,Si,2021,07,449.637
Madrid,Residentes en el Extranjero,,Si,2021,06,299.923
Madrid,Residentes en el Extranjero,,Si,2021,05,248.760
Madrid,Residentes en el Extranjero,,Si,2021,04,156.690
Madrid,Residentes en el Extranjero,,Si,2021,03,172.986
Madrid,Residentes en el Extranjero,,Si,2021,02,122.274
Madrid,Residentes en el Extranjero,,Si,2021,01,109.984
Madrid,Residentes en el Extranjero,,Si,2020,12,113.179
Madrid,Residentes en el Extranjero,,Si,2020,11,102.407
Madrid,Residentes en el Extranjero,,Si,2020,10,110.247
Madrid,Residentes en el Extranjero,,Si,2020,09,128.843
